SecretID,SecretName,UnlockName,Type,Korean,bul,cs_cz,de,el_gr,en_us,fr,it,ja_jp,nl_nl,pl,pt,pt_br,ro_ro,ru,spa,tr_tr,uk_ua,vi,zh_cn,UnlockedFlag
325,Dedication,Horf!,Pill,퉤엣!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,Horf!,1
326,ZIP!,Ace of Diamonds,Card,다이아 A,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,Ace of Diamonds,1
327,It's the Key,Ace of Spades,Card,스페이드 A,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,Ace of Spades,1
328,Mr. Resetter!,Scared Heart,Pickup,도망가는 하트,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,Scared Heart,1
329,Living on the edge,Ace of Hearts,Card,하트 A,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,Ace of Hearts,1
330,U Broke It!,Vurp!,Pill,끄어억!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,Vurp!,1
331,Laz Bleeds More!,Laz Bleeds More!,Other,나사로가 빈혈증을 가짐,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,Laz Bleeds More!,1
332,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Other,막달레나가 체력회복 알약을 가짐,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,Maggy Now Holds a Pill!,1
333,Charged Key,Charged Key,Pickup,액티브 충전 열쇠,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,Charged Key,1
334,Samson Feels Healthy!,Samson Feels Healthy!,Other,삼손이 피의 욕망을 가짐,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,Samson Feels Healthy!,1
335,Greed's Gullet,Greed's Gullet,Item,탐욕의 식도,Торбичка на Алчността,Greedův Jícen,Gier-Magen,Οισοφάγος της Απληστίας,Greed's Gullet,Gosier d'Avarice,Gozzo di Avarizia,グリードの喉,Greed's Gullet,Przełyk Chciwości,Greed's Gullet,Greed's Gullet,Greed's Gullet,Пищевод Алчности,Esófago de Codicia,Greed'in Boğazı,Стравохід Жадібності,Greed's Gullet,贪婪的胃袋,1
336,The Marathon,Cracked Crown,Trinket,금이 간 왕관,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,Cracked Crown,1
337,RERUN,RERUN,Other,재도전 모드 해금,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,RERUN,1
338,Delirious,Delirious,Item,정신착란,Бълнуващ,Blouznivec,Im Delirium,Παραληρών,Delirious,Délire,Delirante,精神錯乱,Delirious,Delirious,Delirious,Delirious,Delirious,Бредящий,Delirious,Delirious,Несамовитий,Delirious,精神错乱,1
339,1000000%,1000000%,None,,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1000000%,1
340,Apollyon,Apollyon,Character,아폴리온,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apollyon,Apolión,Apollyon,Apollyon,Apollyon,Apollyon,1
341,Greedier!,Greedier Mode,Other,그리디어 모드 해금,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,Greedier Mode,1
342,Burning Basement,Burning Basement,Map,불타는 지하실,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,Burning Basement,1
343,Flooded Caves,Flooded Caves,Map,,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,Flooded Caves,1
344,Dank Depths,Dank Depths,Map,,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,Dank Depths,1
345,Scarred Womb,Scarred Womb,Map,,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,Scarred Womb,1
346,Something wicked this way comes!,Little Horn,Boss,작은 뿔,Малкия рог,Malej Horn,Kleines Horn,Μικρό Κέρατο,Little Horn,P'tite Corne,Piccolo Corno,リトルホーン,Little Horn,Mały Róg,Little Horn,Little Horn,Little Horn,Маленький рог,Cuernito,Minik Horn,Маленький ріг,Little Horn,小魔角,1
347,Something wicked this way comes+!,Big Horn,Boss,큰 뿔,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,Big Horn,1
348,The gate is open!,Portal,Other,Portal 몬스터 해금(보이드 포탈),Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,Portal,1
349,Black Hole,Black Hole,Item,블랙홀,Черна дупка,Černá Díra,Black Hole,Μαύρη Τρύπα,Black Hole,Trou Noir,Buco Nero,ブラックホール,Black Hole,Czarna Dziura,Black Hole,Black Hole,Black Hole,Чёрная дыра,Agujero negro,Kara Delik,Чорна діра,Black Hole,黑洞,1
350,Mystery Gift,Mystery Gift,Item,수수께끼의 선물,Тайнствен подарък,Tajemný Dárek,Mystery Gift,Μυστηριώδες Δώρο,Mystery Gift,Cadeau Surprise,Dono Segreto,ミステリーギフト,Mystery Gift,Tajemniczy Prezent,Mystery Gift,Mystery Gift,Mystery Gift,Загадочный подарок,Regalo misterioso,Gizemli Hediye,Загадковий подарунок,Mystery Gift,神秘礼物,1
351,Sprinkler,Sprinkler,Item,스프링클러,Пръскачка,Rozstřikovač,Sprinkler,Ψεκαστήρας,Sprinkler,Arroseur Automatique,Irrigatore,スプリンクラー,Sprinkler,Zraszacz,Sprinkler,Sprinkler,Sprinkler,Ороситель,Aspersor,Sulayıcı,Зрошувач,Sprinkler,洒水器,1
352,Angry Fly,Angry Fly,Item,성난 파리,Ядосана муха,Naštvaná Moucha,Angry Fly,Θυμωμένη Μύγα,Angry Fly,Mouche Enragée,Moscarrabbiata,怒ったハエ,Angry Fly,Wściekła Mucha,Angry Fly,Angry Fly,Angry Fly,Сердитая муха,Mosca Enojada,Kızgın Sinek,Розлючена муха,Angry Fly,愤怒苍蝇,1
353,Bozo,Bozo,Item,멍청이,Бозо,Klaun Bozo,Bozo,Βόζο,Bozo,Bozo,Pagliaccio,ボゾ,Bozo,Bozo,Bozo,Bozo,Bozo,Бозо,Bozo,Bozo,Бозо,Bozo,派对帽,1
354,Broken Modem,Broken Modem,Item,고장난 모뎀,Счупен модем,Rozbitý Modem,Kaputtes Modem,Χαλασμένο Μόντεμ,Broken Modem,Routeur Cassé,Modem Sfasciato,壊れたモデム,Broken Modem,Zepsuty Modem,Broken Modem,Broken Modem,Broken Modem,Сломанный модем,Modem Roto,Bozuk Modem,Зламаний модем,Broken Modem,损坏的调制解调器,1
355,Buddy in a Box,Buddy in a Box,Item,친구 든 상자,Приятел в кутия,Kamarád v Bedně,Buddy in a Box,Φίλος σε Κουτί,Buddy in a Box,Pote en Boîte,Amico in Scatola,箱の中のバディー,Buddy in a Box,Kumpel z Pudełka,Buddy in a Box,Buddy in a Box,Buddy in a Box,Друг в коробке,Compañero Encajonado,Kutuda Arkadaş,Друзяка в коробці,Buddy in a Box,伙伴盲盒,1
356,Fast Bombs,Fast Bombs,Item,빠른 폭탄,Бързи бомби,Rychlo-Bomby,Schnellbomben,Γρήγορες Βόμβες,Fast Bombs,Bombes Éclair,Bombe Leste,ファスト ボム,Fast Bombs,Szybkie Bomby,Fast Bombs,Fast Bombs,Fast Bombs,Быстрые бомбы,Bombas Rápidas,Hızlı Bombalar,Швидкі бомби,Fast Bombs,快速炸弹,1
357,Lil Delirium,Lil Delirium,Item,꼬마 델리리움,Малката лудост,Maličký Delirium,Lil Delirium,Μικρούλης Παραληρμένος,Lil Delirium,P'tit Delirium,Mini Delirio,リトルデリリアム,Lil Delirium,Tyci Delirium,Lil Delirium,Lil Delirium,Lil Delirium,Малютка Сумасшествие,Mini-Delirio,Minik Delirium,Крихітка Делліріум,Lil Delirium,精神错乱宝宝,1
358,Hairpin,Hairpin,Trinket,머리핀,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,Hairpin,1
359,Wooden Cross,Wooden Cross,Trinket,나무 십자가,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,Wooden Cross,1
360,Butter!,Butter!,Trinket,버터!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,Butter!,1
361,Huge Growth,Huge Growth,Card,거대한 성장,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,Huge Growth,1
362,Ancient Recall,Ancient Recall,Card,고대의 부름,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,Ancient Recall,1
363,Era Walk,Era Walk,Card,시간 여행,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,Era Walk,1
364,Coupon,Coupon,Item,쿠폰,Купон,Kupón,Coupon,Κουπόνι,Coupon,Coupon,Coupon,クーポン,Coupon,Kupon,Coupon,Coupon,Coupon,Купон,Cupón,Kupon,Купон,Coupon,代金券,1
365,Telekinesis,Telekinesis,Item,염동력,Телекинеза,Telekineze,Telekinesis,Τηλεκινησία,Telekinesis,Télékinésie,Telecinesi,テレキネシス,Telekinesis,Telekineza,Telekinesis,Telekinesis,Telekinesis,Телепатия,Telequinesia,Telekinezi,Телекінез,Telekinesis,念力,1
366,Moving Box,Moving Box,Item,수납상자,Кутия за доставка,Stěhovací Krabice,Umzugskarton,Κουτί Μετακινήσεων,Moving Box,Carton de Déménagement,Scatola per Traslochi,お引越し用の箱,Moving Box,Pudło na Przenosiny,Moving Box,Moving Box,Moving Box,Коробка для перевозки,Caja de mudanza,Taşınma Kolisi,Коробка для перенесень,Moving Box,搬家盒,1
367,Jumper Cables,Jumper Cables,Item,점퍼 케이블,Кабели за стартов ток,Startovací Kabely,Jumper Cables,Καλώδια Βραχυκύκλωσης,Jumper Cables,Câbles de Démarrage,Morsetti,ブースターケーブル,Jumper Cables,Kable Rozruchowe,Jumper Cables,Jumper Cables,Jumper Cables,Соединительные кабели,Cables de Salto,Akü Kablosu,Кабель-перемичка,Jumper Cables,跨接电缆,1
368,Leprosy,Leprosy,Item,문둥병,Проказа,Lepra,Leprosy,Λέπρα,Leprosy,Lèpre,Lebbra,レプロシー,Leprosy,Trąd,Leprosy,Leprosy,Leprosy,Проказа,Lepra,Cüzam,Проказа,Leprosy,麻风病,1
369,Technology Zero,Technology Zero,Item,기계장치 0,Технология Нула,Technologie Nula,Technologie Null,Τεχνολογία Μηδέν,Technology Zero,Technologie Zéro,Tecnologia Zero,テクノロジーゼロ,Technology Zero,Technologia Zero,Technology Zero,Technology Zero,Technology Zero,Технология Ноль,Tecnología Cero,Teknoloji 00,Технологія Нуль,Technology Zero,科技零,1
370,Filigree Feather,Filigree Feather,Trinket,세공 깃털,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,Filigree Feather,1
371,Mr. ME!,Mr. ME!,Item,미 씨!,Мистър МИ!,Pan JÁ!,Mr. ME!,Κύριος ΕΓΩ!,Mr. ME!,Boîte à Larbin,Mr. GUARDI!,ミスターボク！,Mr. ME!,Pan JA!,Mr. ME!,Mr. ME!,Mr. ME!,Мистер Ми!,¡Sr. YO!,Mr. ME!,Містер Я!,Mr. ME!,自我先生！,1
372,7 Seals,7 Seals,Item,7개의 도장,7 печата,7 Pečetí,7 Seals,7 Σφραγίδες,7 Seals,Livre des 7 Sceaux,7 Sigilli,７つの封印,7 Seals,7 Pieczęci,7 Seals,7 Seals,7 Seals,7 печатей,Los 7 Sellos,7 Atlı,7 Печаток,7 Seals,七印,1
373,Angelic Prism,Angelic Prism,Item,천사빛 프리즘,Ангелска призма,Andělský Hranol,Angelic Prism,Αγγελικό Πρίσμα,Angelic Prism,Prisme Angélique,Prisma Angelico,エンジェリック プリズム,Angelic Prism,Anielski Pryzmat,Angelic Prism,Angelic Prism,Angelic Prism,Ангельская призма,Prisma angelical,Melek Prizması,Ангельська призма,Angelic Prism,天使棱镜,1
374,Pop!,Pop!,Item,뽁!,Пук!,Plup!,Pop!,Ποπ!,Pop!,Pop !,Pop!,ポロッ！,Pop!,Pop!,Pop!,Pop!,Pop!,Хлоп!,¡Pop!,Pop!,Хлюп!,Pop!,噗！,1
375,Door Stop,Door Stop,Trinket,문 받침대,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,Door Stop,1
376,Death's List,Death's List,Item,죽음의 살생부,Списък на смъртта,Seznam Smrti,Death's List,Λίστα του Θανάτου,Death's List,La Liste de la Mort,Lista Nera,死神のリスト,Death's List,Lista Śmierci,Death's List,Death's List,Death's List,Список смерти,Lista de la muerte,Azrailin Listesi,Список смерті,Death's List,死神名册,1
377,Haemolacria,Haemolacria,Item,피눈물병,Хемолакрия,Hemolakrie,Hämolyse,Αιμολακρία,Haemolacria,Haemolacria,Emolacria,流血,Haemolacria,Hemolakria,Haemolacria,Haemolacria,Haemolacria,Гемолакрия,Hemolacria,Kan Gözyaşı,Гемолакрія,Haemolacria,泪血症,1
378,Lachryphagy,Lachryphagy,Item,눈물먹이,Лакрифагия,Lachryfagie,Lachryphagy,Λαχρυφία,Lachryphagy,Lachryphagie,Lacrifagia,涙ごっくん,Lachryphagy,Wygłodniałe Łzy,Lachryphagy,Lachryphagy,Lachryphagy,Лакрифагия,Lacrifagia,Lachryphagy,Сльозотеча,Lachryphagy,食泪症,1
379,Schoolbag,Schoolbag,Item,책가방,Ученическа раница,Školní Aktovka,Schoolbag,Σχολική Τσάντα,Schoolbag,Cartable,Zainetto,スクール バッグ,Schoolbag,Plecak Szkolny,Schoolbag,Schoolbag,Schoolbag,Школьный портфель,Mochila,Okul Çantası,Рюкзак,Schoolbag,书包,1
380,Trisagion,Trisagion,Item,삼성송,Трисвятост,Trisagion,Trisagion,Τρισάγιο,Trisagion,Trisagion,Trisagion,聖三祝文,Trisagion,Trisagion,Trisagion,Trisagion,Trisagion,Трисвятое,Trisagio,Trisagion,Трисвяте,Trisagion,三圣颂,1
381,Extension Cord,Extension Cord,Trinket,연장 코드,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,Extension Cord,1
382,Flat Stone,Flat Stone,Item,납작한 돌,Плосък камък,Plochý Kámen,Flat Stone,Επίπεδη Πέτρα,Flat Stone,Pierre Plate,Sasso Piatto,フラットストーン,Flat Stone,Płaski Kamień,Flat Stone,Flat Stone,Flat Stone,Плоский камень,Piedra plana,Düz Taş,Плаский камінь,Flat Stone,扁石,1
383,Sacrificial Altar,Sacrificial Altar,Item,희생의 제단,Жертвен олтар,Obětní Oltář,Sacrificial Altar,Θυσιαστικός Βωμός,Sacrificial Altar,Autel Sacrificiel,Altare Sacrificale,いけにえの祭壇,Sacrificial Altar,Ołtarz Ofiarny,Sacrificial Altar,Sacrificial Altar,Sacrificial Altar,Жертвенный алтарь,Altar de sacrificio,Kurban Alanı,Вівтар для жертвопринесень,Sacrificial Altar,祭坛,1
384,Lil Spewer,Lil Spewer,Item,꼬마 구토쟁이,Малкият плювач,Maličký Plivač,Lil Spewer,Μικρούλης Χτύπος,Lil Spewer,P'tit Spewer,Mini Conato,リトルゲロゲロ,Lil Spewer,Tyci Spewer,Lil Spewer,Lil Spewer,Lil Spewer,Маленький Спевер,Mini-vómitos,Minik Tükürücü,Крихітка Ригачка,Lil Spewer,呕吐虫宝宝,1
385,Blanket,Blanket,Item,담요,Одеяло,Přikrývka,Blanket,Κουβέρτα,Blanket,Couverture,Copertina,もうふ,Blanket,Kocyk,Blanket,Blanket,Blanket,Одеяло,Manto,Battaniye,Ковдра,Blanket,毛毯,1
386,Marbles,Marbles,Item,구슬,Стъклени топчета,Kuličky,Marbles,Μπίλιες,Marbles,Sac de Billes,Biglie,ビー玉,Marbles,Marmurki,Marbles,Marbles,Marbles,Шарики,Canicas,Bilyeler,Камінці,Marbles,弹珠袋,1
387,Mystery Egg,Mystery Egg,Item,이상한 알,Тайнствено яйце,Tajemné Vejce,Mystery Egg,Μυστηριώδες Αυγό,Mystery Egg,Œuf Mystère,Uovo Misterioso,ミステリーエッグ,Mystery Egg,Jajko Niespodzianka,Mystery Egg,Mystery Egg,Mystery Egg,Загадочное яйцо,Huevo misterioso,Gizemli Yumurta,Загадкове яйце,Mystery Egg,神秘的卵,1
388,Rotten Penny,Rotten Penny,Trinket,썩은 동전,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,Rotten Penny,1
389,Baby-Bender,Baby-Bender,Trinket,아기 초능력자,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,Baby-Bender,1
390,The Forgotten,The Forgotten,Character,포가튼,The Forgotten,The Forgotten,The Forgotten,The Forgotten,The Forgotten,Le Délaissé,The Forgotten,The Forgotten,The Forgotten,Zapomniany,The Forgotten,The Forgotten,You have a melee attack which can be charged and thrown#{{BoneHeart}} Can have up to 6 Bone Hearts#{{Player17}} Press {{ButtonRT}} to switch to The Soul#{{SoulHeart}} The Soul can have up to 6 Soul/Black Hearts and has flight and spectral tears#The Soul is chained to a small radius around The Forgotten,The Forgotten,El Olvidado,The Forgotten,The Forgotten,The Forgotten,The Forgotten,1
391,Bone Heart,Bone Heart,Pickup,뼈하트,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,Bone Heart,1
392,Marrow,Marrow,Item,골수,Костен мозък,Kostní Dřeň,Marrow,Μυελός Οστέων,Marrow,Moelle,Midollo,髄,Marrow,Szpik,Marrow,Marrow,Marrow,Костный мозг,Médula,İlik,Кістковий мозок,Marrow,骨髓,1
393,Slipped Rib,Slipped Rib,Item,빠진 갈비뼈,Ставно ребро,Vyklouzlé Žebro,Slipped Rib,Γλιστρημένο Πλευρό,Slipped Rib,Côte Cassée,Costola Fluttuante,すべり肋骨,Slipped Rib,Przesunięte Żebro,Slipped Rib,Slipped Rib,Slipped Rib,Скользящее ребро,Costilla deslizante,Kaygan Pirzola,Зміщене ребро,Slipped Rib,滑肋骨,1
394,Pointy Rib,Pointy Rib,Item,날카로운 갈비뼈,Наточено ребро,Špičaté Žebro,Pointy Rib,Μυτερό Πλευρό,Pointy Rib,Côte Pointue,Costola Appuntita,トゲトゲあばら骨,Pointy Rib,Spiczaste Żebro,Pointy Rib,Pointy Rib,Pointy Rib,Заострённое ребро,Costilla con Punta,Sivri Pirzola,Загострене ребро,Pointy Rib,尖肋骨,1
395,Jaw Bone,Jaw Bone,Item,턱뼈,Челюстна кост,Čelistní Kost,Jaw Bone,Κόκκαλο Σαγονιού,Jaw Bone,Mandibule,Mandibola,あご骨,Jaw Bone,Szczęka,Jaw Bone,Jaw Bone,Jaw Bone,Челюстная кость,Hueso de Mandíbula,Çene Kemiği,Щелепна кістка,Jaw Bone,颌骨,1
396,Brittle Bones,Brittle Bones,Item,최약골,Крехки кости,Křehké Kosti,Brüchige Knochen,Εύθραυστα Κόκκαλα,Brittle Bones,Os de Verre,Osteogenesi Imperfetta,脆弱骨,Brittle Bones,Łamliwe Kości,Brittle Bones,Brittle Bones,Brittle Bones,Хрупкие кости,Huesos frágiles,Kırılgan Kemikler,Крихкі кістки,Brittle Bones,脆骨症,1
397,Divorce Papers,Divorce Papers,Item,이혼 서류,Документи за развод,Rozvodové Papíry,Divorce Papers,Χαρτιά Διαζυγίου,Divorce Papers,Acte de Divorce,Documenti per il Divorzio,離婚届,Divorce Papers,Papiery Rozwodowe,Divorce Papers,Divorce Papers,Divorce Papers,Бумаги о разводе,Papeles del divorcio,Boşanma Belgeleri,Документи про розлучення,Divorce Papers,离婚协议书,1
398,Hallowed Ground,Hallowed Ground,Item,성지,Света земя,Posvátné Hovno,Heiliger Boden,Ιεροσωμένο Εδαφος,Hallowed Ground,Terre sacrée,Terra Consacrata,神聖なる土,Hallowed Ground,Poświęcona Ziemia,Hallowed Ground,Hallowed Ground,Hallowed Ground,Священная земля,Suelo Santificado,Çukur,Свята земля,Hallowed Ground,圣地大便,1
399,Finger Bone,Finger Bone,Trinket,손가락 뼈,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,Finger Bone,1
400,Dad's Ring,Dad's Ring,Item,아빠의 반지,Пръстенът на татко,Tátův Prsten,Dad's Ring,Το Δαχτυλίδι του Μπαμπά,Dad's Ring,Bague de Papa,Anello di Papà,パパのゆびわ,Dad's Ring,Pierścień Taty,Dad's Ring,Dad's Ring,Dad's Ring,Отцовское кольцо,Anillo de papá,Babanın Yüzüğü,Татусеве кільце,Dad's Ring,爸爸的戒指,1
401,Book of the Dead,Book of the Dead,Item,망자의 책,Книга на мъртвите,Kniha Mrtvých,Book of the Dead,Το Βιβλίο των Νεκρών,Book of the Dead,Livre des Morts,Libro dei Morti,死者の本,Book of the Dead,Księga Umarłych,Book of the Dead,Book of the Dead,Book of the Dead,Книга мёртвых,Libro de los Muertos,Ölülerin Kitabı,Книга Мертвих,Book of the Dead,亡者之书,1
402,Bone Baby,Bone Baby,Other,랜덤 패밀리어,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,Bone Baby,1
